40	0.00000000	0.00000000
39	0.00000000	0.00000000
38	0.00000000	0.00000000
37	0.00000000	0.00000000
36	0.00000000	0.00000000
35	0.00000000	0.00000000
34	0.00000000	0.00000001
33	0.00000000	0.00000003
32	0.00000000	0.00000013
31	0.00000000	0.00000045
30	0.00000000	0.00000139
29	0.00000000	0.00000378
28	0.00000000	0.00000913
27	0.00000000	0.00001967
26	0.00000000	0.00003794
25	0.00000000	0.00006576
24	0.00000000	0.00010275
23	0.00000001	0.00014507
22	0.00000004	0.00018541
21	0.00000023	0.00021486
20	0.00000120	0.00022617
19	0.00000564	0.00021703
18	0.00002399	0.00019172
17	0.00009245	0.00016023
16	0.00032251	0.00013546
15	0.00101654	0.00012950
14	0.00288835	0.00015003
13	0.00737597	0.00019748
12	0.01686593	0.00026376
11	0.03437156	0.00033499
10	0.06206923	0.00039959
9	0.09860988	0.00045957
8	0.13658994	0.00053737
7	0.16307993	0.00067102
6	0.16535807	0.00090529
5	0.13960931	0.00131019
4	0.09549654	0.00208282
3	0.05084540	0.00394339
2	0.01976947	0.01105803
1	0.00499305	0.75799976
0	0.00061477	a


