40	0.00000000	0.00000000
39	0.00000000	0.00000000
38	0.00000000	0.00000000
37	0.00000000	0.00000000
36	0.00000000	0.00000000
35	0.00000000	0.00000000
34	0.00000003	0.00000001
33	0.00000018	0.00000006
32	0.00000103	0.00000025
31	0.00000499	0.00000089
30	0.00002113	0.00000277
29	0.00007869	0.00000756
28	0.00025963	0.00001827
27	0.00076350	0.00003934
26	0.00201040	0.00007587
25	0.00475774	0.00013151
24	0.01014980	0.00020549
23	0.01956396	0.00029013
22	0.03413100	0.00037082
21	0.05395789	0.00042973
20	0.07735371	0.00045234
19	0.10058396	0.00043406
18	0.11860324	0.00038344
17	0.12672962	0.00032047
16	0.12256112	0.00027093
15	0.10709510	0.00025899
14	0.08435764	0.00030006
13	0.05972080	0.00039495
12	0.03785714	0.00052752
11	0.02138789	0.00066999
10	0.01070721	0.00079918
9	0.00471576	0.00091914
8	0.00181084	0.00107474
7	0.00059937	0.00134204
6	0.00016848	0.00181058
5	0.00003943	0.00262039
4	0.00000748	0.00416564
3	0.00000110	0.00788678
2	0.00000012	0.02211605
1	0.00000001	1.51599951
0	0.00000000	a


